Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30,
14.84342856,0.18199618,-0.088,0.885659714,159429.6287,341.18176,1.5734481,1.1840422,
14.84342856,0.1826548,-0.088,0.895068571,159461.232,341.98566,1.57376,1.186832067,
14.84342856,0.18326424,-0.088,0.903774857,159384.8431,342.78336,1.5730061,1.189600416,
14.84342856,0.18382806,-0.088,0.911829429,159230.2921,343.56116,1.5714808,1.192299705,
14.84342856,0.18434975,-0.088,0.919282143,158983.0388,344.31186,1.5690406,1.194904945,
14.84342856,0.18483241,-0.088,0.926177286,158647.9773,345.03156,1.5657338,1.197402603,
14.84342856,0.185279,-0.088,0.932557143,158244.7646,345.71271,1.5617544,1.199766476,
14.84342856,0.18569216,-0.088,0.938459429,157796.4926,346.35498,1.5573303,1.201995419,
14.84342856,0.18607447,-0.088,0.943921,157322.4842,346.95648,1.5526522,1.204082874,
14.84342856,0.18642816,-0.088,0.948973714,156804.1764,347.51822,1.5475369,1.206032344,
14.84342856,0.1867554,-0.088,0.953648571,156263.648,348.04089,1.5422023,1.207846226,
14.84342856,0.1870582,-0.088,0.957974286,155753.5881,348.52551,1.5371684,1.209528058,
14.84342856,0.18733835,-0.088,0.961976429,155277.239,348.96909,1.5324672,1.211067465,
14.84342856,0.18759754,-0.088,0.965679143,154803.0076,349.37683,1.5277869,1.212482492,
14.84342856,0.18783735,-0.088,0.969105,154341.1683,349.74908,1.5232289,1.213774354,
14.84342856,0.18805923,-0.088,0.972274714,153915.9478,350.08661,1.5190323,1.214945723,
14.84342856,0.1882645,-0.088,0.975207143,153515.2784,350.39288,1.515078,1.216008607,
14.84342856,0.18845445,-0.088,0.977920714,153113.1701,350.67502,1.5111095,1.216987749,
14.84342856,0.18863018,-0.088,0.980431143,152697.6464,350.9382,1.5070086,1.217901093,
14.84342856,0.18879278,-0.088,0.982754,152281.687,351.18228,1.5029034,1.218748152,
14.84342856,0.1889631,-0.088,0.985187143,151847.7323,351.4079,1.4986206,1.219531147,
14.84342856,0.18910974,-0.088,0.987282,151396.2484,351.61398,1.4941648,1.22024633,
14.84342856,0.18923603,-0.088,0.989086143,150953.4986,351.79379,1.4897952,1.220870345,
14.84342856,0.18934476,-0.088,0.990639429,150518.3483,351.94754,1.4855006,1.221403922,
14.84342856,0.18943839,-0.088,0.991977,150091.77,352.07791,1.4812906,1.22185636,
14.84342856,0.189519,-0.088,0.993128571,149673.693,352.18832,1.4771645,1.222239528,
14.84342856,0.18958841,-0.088,0.994120143,149264.421,352.28171,1.4731253,1.22256363,
14.84342856,0.18964818,-0.088,0.994974,148864.6331,352.36072,1.4691797,1.222837828,
14.84342856,0.18969965,-0.088,0.995709286,148474.4204,352.42755,1.4653286,1.223069755,
14.84342856,0.18974397,-0.088,0.996342429,148094.3199,352.48401,1.4615773,1.223265695,
14.84342856,0.18978213,-0.088,0.996887571,147723.2678,352.53152,1.4579153,1.223430574,
14.84342856,0.18981498,-0.088,0.997356857,147362.3279,352.57144,1.4543531,1.223569113,
14.84342856,0.18984328,-0.088,0.997761143,147008.4503,352.60498,1.4508606,1.223685511,
14.84342856,0.18986762,-0.088,0.998108857,146657.9266,352.63306,1.4474012,1.22378296,
14.84342856,0.18988861,-0.088,0.998408714,146309.6422,352.65628,1.4439639,1.223863543,
14.84342856,0.18990667,-0.088,0.998666714,145962.5939,352.67511,1.4405388,1.223928891,
14.84342856,0.1899222,-0.088,0.998888571,145613.2253,352.68958,1.4370908,1.223979108,
14.84342856,0.18993561,-0.088,0.999080143,145252.9947,352.69965,1.4335356,1.224014055,
14.84342856,0.18994714,-0.088,0.999244857,144872.2559,352.70447,1.429778,1.224030783,
14.84342856,0.18995707,-0.088,0.999386714,144453.5708,352.70239,1.4256459,1.224023564,
14.84342856,0.18996561,-0.088,0.999508714,143974.9926,352.69055,1.4209227,1.223982474,
14.84342856,0.18997297,-0.088,0.999613857,143418.4751,352.66519,1.4154303,1.223894465,
14.84342856,0.18997931,-0.088,0.999704429,142795.0123,352.62399,1.4092772,1.223751484,
14.84342856,0.18998478,-0.088,0.999782571,142160.8596,352.56946,1.4030186,1.223562242,
14.84342856,0.18998946,-0.088,0.999849429,141604.7576,352.50922,1.3975303,1.223353184,
14.84342856,0.18999353,-0.088,0.999907571,141183.3368,352.44861,1.3933712,1.223142842,
14.84342856,0.18999699,-0.088,0.999957,140936.1849,352.39102,1.390932,1.222942981,
14.84342856,0.19,-0.088,1,140839.2371,352.58847,1.3899752,1.223628214,
