"Operating_condition (e.g., stall cycle/stall inception)",r_probe(m),x_probe(m),Rotational_frame(yes/no)
Stall inception,0.1892,-0.235,yes
t(s),p(Pa),,
0.000975406,105486.5161,,
0.000976438,105515.0905,,
0.00097747,105547.9673,,
0.000978503,105581.026,,
0.000979535,105614.2873,,
0.000980567,105651.6764,,
0.000981599,105689.2589,,
0.000982631,105722.9152,,
0.000983664,105764.7107,,
0.000984696,105802.4827,,
0.000985728,105840.3404,,
0.00098676,105882.2296,,
0.000987792,105924.0452,,
0.000988824,105965.859,,
0.000989857,106011.5918,,
0.000990889,106057.2463,,
0.000991921,106098.8305,,
0.000992953,106144.2674,,
0.000993985,106189.5592,,
0.000995017,106238.6897,,
0.00099605,106283.6859,,
0.000997082,106332.4471,,
0.000998114,106377.0232,,
0.000999146,106425.3944,,
